17:53:41 xe-0/0/9 3BBIRP_USFLNA01-re0
16:05:15 xe-0/0/4 3BBIRP_ARCFOL01-re0
16:07:20 xe-0/0/4 3BBIRP_ARCFOL01-re0
16:40:21 xe-0/0/4 3BBIRP_ARCFOL01-re0
16:40:27 xe-0/0/3 3BBIRP_ARCFOL01-re0
17:22:39 xe-0/0/3 3BBIRP_ARCFOL01-re0
17:22:44 xe-0/0/3 3BBIRP_ARCFOL01-re0
17:27:06 xe-0/0/3 3BBIRP_ARCFOL01-re0
17:27:07 xe-0/0/3 3BBIRP_ARCFOL01-re0
10:31:17 xe-0/0/1 3BBIRP_USGAAT01-re0
17:22:39 xe-0/0/3 3BBIRP_CLRMSL01-re0
17:22:44 xe-0/0/3 3BBIRP_CLRMSL01-re0
17:27:06 xe-0/0/3 3BBIRP_CLRMSL01-re0
