
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 502, ifAdminStatus up(1), ifOperStatus up(1), ifName cbp0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 516, ifAdminStatus up(1), ifOperStatus up(1), ifName pip0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 517, ifAdminStatus up(1), ifOperStatus up(1), ifName pp0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 513, ifAdminStatus up(1), ifOperStatus up(1), ifName irb
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 519, ifAdminStatus up(1), ifOperStatus up(1), ifName vtep
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 504, ifAdminStatus up(1), ifOperStatus up(1), ifName esi
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 518, ifAdminStatus up(1), ifOperStatus up(1), ifName rbeb
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 545, ifAdminStatus up(1), ifOperStatus up(1), ifName af0.0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 16, ifAdminStatus up(1), ifOperStatus up(1), ifName lo0.0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 532, ifAdminStatus up(1), ifOperStatus up(1), ifName pfe-0/0/0.16383
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 533, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-0/0/0.16383
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 534, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-0/0/0.16384
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 535, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-0/0/0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 546, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-0/0/0.1511
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 547, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-0/0/0.32767
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 548, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-0/0/0.1517
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 505, ifAdminStatus up(1), ifOperStatus up(1), ifName fti0
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 506, ifAdminStatus up(1), ifOperStatus up(1), ifName fti1
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 507, ifAdminStatus up(1), ifOperStatus up(1), ifName fti2
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 508, ifAdminStatus up(1), ifOperStatus up(1), ifName fti3
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 509, ifAdminStatus up(1), ifOperStatus up(1), ifName fti4
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 510, ifAdminStatus up(1), ifOperStatus up(1), ifName fti5
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 511, ifAdminStatus up(1), ifOperStatus up(1), ifName fti6
Oct 29 09:32:53  3BBIRP_GTGUPB01-re1 mib2d[6564]: SNMP_TRAP_LINK_UP: ifIndex 512, ifAdminStatus up(1), ifOperStatus up(1), ifName fti7
