
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 534, ifAdminStatus up(1), ifOperStatus up(1), ifName pfe-2/0/0.16383
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 532, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-2/0/0.16383
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 533, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-2/0/0.16384
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 545, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/6
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 560, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/6.0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 555, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/3/6
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 561, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/3/6.0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 505, ifAdminStatus up(1), ifOperStatus up(1), ifName fti0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 506, ifAdminStatus up(1), ifOperStatus up(1), ifName fti1
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 507, ifAdminStatus up(1), ifOperStatus up(1), ifName fti2
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 508, ifAdminStatus up(1), ifOperStatus up(1), ifName fti3
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 509, ifAdminStatus up(1), ifOperStatus up(1), ifName fti4
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 510, ifAdminStatus up(1), ifOperStatus up(1), ifName fti5
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 511, ifAdminStatus up(1), ifOperStatus up(1), ifName fti6
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 512, ifAdminStatus up(1), ifOperStatus up(1), ifName fti7
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 540, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/1
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 535, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-2/0/0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 536, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-2/0/1
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 565, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-2/0/1.2200
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 566, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-2/0/1.32767
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 570, ifAdminStatus up(1), ifOperStatus up(1), ifName xe-2/0/0.0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 557, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/3/8
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 573, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/3/8.32767
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 572, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/3/8.2052
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 578, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/1.100
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 574, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/1.0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 579, ifAdminStatus up(1), ifOperStatus up(1), ifName ge-2/2/1.32767
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 585, ifAdminStatus up(1), ifOperStatus up(1), ifName pfe-3/0/0.16383
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 586, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-3/0/0.16383
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 587, ifAdminStatus up(1), ifOperStatus up(1), ifName pfh-3/0/0.16384
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 520, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet0
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 521, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet0.32763
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 522, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet0.32764
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 523, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet1
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 524, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet1.32763
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 525, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet1.32764
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 526, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet2
Oct 29 09:32:54  3BBIRPE_GTGUPB01-re1 mib2d[6505]: SNMP_TRAP_LINK_UP: ifIndex 527, ifAdminStatus up(1), ifOperStatus up(1), ifName vtnet2.0

{master}
